date,close,volume,open,high,low,Daily.Change
,,,,,,
16-04-18,175.82,21561320,175.0301,176.19,174.8301,0.7899
15-04-18,174.73,25100510,174.78,175.84,173.85,-0.05
14-04-18,174.14,22858840,173.41,175,173.04,0.73
13-04-18,172.44,22401040,172.23,173.9232,171.7,0.21
12-04-18,173.25,28567110,173,174,171.53,0.25
11-04-18,170.05,28976200,169.88,173.09,169.845,0.17
10-04-18,168.38,34949690,170.97,172.48,168.2,-2.59
09-04-18,172.8,26750260,172.58,174.2304,172.08,0.22
08-04-18,171.61,34581850,164.88,172.01,164.77,6.73
07-04-18,168.39,30237640,167.64,168.7455,164.88,0.75
06-04-18,166.68,37425640,167.88,168.94,164.47,-1.2
29-03-18,167.78,38116290,167.805,171.75,166.9,-0.025
28-03-18,166.48,41464880,167.25,170.02,165.19,-0.77
27-03-18,168.34,39824200,173.68,175.15,166.92,-5.34
26-03-18,172.77,36778560,168.07,173.1,166.44,4.7
23-03-18,164.94,40984540,168.39,169.92,164.94,-3.45
22-03-18,168.85,41335980,170,172.68,168.6,-1.15
21-03-18,171.27,36387880,175.04,175.09,171.26,-3.77
20-03-18,175.24,19620520,175.24,176.8,174.94,0
19-03-18,175.3,32931110,177.32,177.47,173.66,-2.02
16-03-18,178.02,38313330,178.65,179.12,177.62,-0.63
15-03-18,178.65,22676520,178.5,180.24,178.0701,0.15
14-03-18,178.44,29334630,180.32,180.52,177.81,-1.88
13-03-18,179.97,31464170,182.59,183.5,179.24,-2.62
12-03-18,181.72,32191070,180.29,182.39,180.21,1.43
09-03-18,179.98,32130360,177.96,180,177.39,2.02
08-03-18,176.94,24518850,175.48,177.12,175.07,1.46
07-03-18,175.03,31686450,174.94,175.85,174.27,0.09
06-03-18,176.67,23273160,177.91,178.25,176.13,-1.24
05-03-18,176.82,27825140,175.21,177.74,174.52,1.61
02-03-18,176.21,38426060,172.8,176.3,172.45,3.41
01-03-18,175,48706170,178.54,179.775,172.66,-3.54
28-02-18,178.12,37568080,179.26,180.615,178.05,-1.14
27-02-18,178.39,38885510,179.1,180.48,178.16,-0.71
26-02-18,178.97,37353670,176.35,179.39,176.21,2.62
23-02-18,175.5,33772050,173.67,175.65,173.54,1.83
22-02-18,172.5,30953760,171.8,173.95,171.71,0.7
21-02-18,171.07,37378070,172.83,174.12,171.01,-1.76
20-02-18,171.85,33690660,172.05,174.26,171.42,-0.2
16-02-18,172.43,40113790,172.36,174.82,171.77,0.07
15-02-18,172.99,50908540,169.79,173.09,169,3.2
14-02-18,167.37,40382890,163.045,167.54,162.88,4.325
13-02-18,164.34,32483310,161.95,164.75,161.65,2.39
12-02-18,162.71,60774900,158.5,163.89,157.51,4.21
09-02-18,156.41,70583530,157.07,157.89,150.24,-0.66
08-02-18,155.15,54145930,160.29,161,155.03,-5.14
07-02-18,159.54,51467440,163.085,163.4,159.0685,-3.545
06-02-18,163.03,68171940,154.83,163.72,154,8.2
05-02-18,156.49,72215320,159.1,163.88,156,-2.61
02-02-18,160.5,85957050,166,166.8,160.1,-5.5
01-02-18,167.78,44453230,167.165,168.62,166.76,0.615
31-01-18,167.43,32234520,166.87,168.4417,166.5,0.56
30-01-18,166.97,45635470,165.525,167.37,164.7,1.445
29-01-18,167.96,50565420,170.16,170.16,167.07,-2.2
26-01-18,171.51,39075250,172,172,170.06,-0.49
25-01-18,171.11,41438280,174.505,174.95,170.53,-3.395
24-01-18,174.22,51368540,177.25,177.3,173.2,-3.03
23-01-18,177.04,32395870,177.3,179.44,176.82,-0.26
22-01-18,177,27052000,177.3,177.78,176.6016,-0.3
19-01-18,178.46,31306390,178.61,179.58,177.41,-0.15
18-01-18,179.26,31087330,179.37,180.1,178.25,-0.11
17-01-18,179.1,34260230,176.15,179.25,175.07,2.95
16-01-18,176.19,29512410,177.9,179.39,176.14,-1.71
